City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,26.74,87,75,5.14,US,1730857770
1,rundu,-17.9333,19.7667,21.52,63,100,3.13,NA,1730857826
2,ketchikan,55.3422,-131.6461,7.99,87,100,8.23,US,1730857828
3,kapuskasing,49.4169,-82.4331,5.05,93,100,3.6,CA,1730857738
4,pikalevo,59.5183,34.1664,-0.65,95,100,1.81,RU,1730857830
5,waitangi,-43.9535,-176.5597,13.32,88,51,2.47,NZ,1730857724
6,aioun,16.6614,-9.6149,26.79,15,0,4.63,MR,1730857832
7,edinburgh of the seven seas,-37.0676,-12.3116,14.44,84,94,4.47,SH,1730857750
8,new norfolk,-42.7826,147.0587,28.84,28,69,5.64,AU,1730857834
9,hasaki,35.7333,140.8333,15.52,83,100,11.01,JP,1730857835
10,bilibino,68.0546,166.4372,-21.43,98,100,0.76,RU,1730857837
11,port-aux-francais,-49.35,70.2167,2.49,91,96,6.81,TF,1730857722
12,grytviken,-54.2811,-36.5092,1.77,92,100,5.32,GS,1730857762
13,mili,6.0815,171.735,29.13,75,100,7.55,MH,1730857840
14,quibor,9.9287,-69.6201,23.28,79,55,1.24,VE,1730857841
15,iqaluit,63.7506,-68.5145,-7.15,63,75,5.66,CA,1730857768
16,loen,7.7601,168.2307,29.37,77,64,8.23,MH,1730857844
17,ushuaia,-54.8,-68.3,3.81,87,75,4.63,AR,1730857515
18,lerwick,60.1545,-1.1494,10.12,84,100,4.15,GB,1730857847
19,hotan,37.0997,79.9269,10.75,30,0,1.81,CN,1730857848
20,albany,42.6001,-73.9662,17.58,74,3,0.45,US,1730857751
21,pangoa,-12.1167,-73.0,21.22,98,99,0.89,PE,1730857850
22,leh,34.1667,77.5833,1.63,32,10,1.61,IN,1730857851
23,cobadin,44.0833,28.2167,2.07,59,0,0.78,RO,1730857852
24,jaisalmer,26.9147,70.9181,25.96,37,0,3.12,IN,1730857853
25,olonkinbyen,70.9221,-8.7187,1.3,97,97,5.52,SJ,1730857733
26,stanley,54.868,-1.6985,8.62,93,100,1.54,GB,1730857753
27,fort st. john,56.2499,-120.8529,-0.06,74,75,5.14,CA,1730857857
28,hamilton,39.1834,-84.5333,22.97,69,40,7.2,US,1730857858
29,puerto ayora,-0.7393,-90.3518,19.91,74,98,3.61,EC,1730857859
30,shanghai,31.2222,121.4581,16.92,45,0,6.0,CN,1730857702
31,usinsk,65.9939,57.5281,-6.18,96,100,5.28,RU,1730857861
32,mount isa,-20.7333,139.5,38.87,24,7,5.14,AU,1730857725
33,guaruja,-23.9931,-46.2564,22.5,94,63,2.14,BR,1730857694
34,avarua,-21.2078,-159.775,24.03,83,100,2.57,CK,1730857865
35,papatowai,-46.5619,169.4708,15.76,59,8,2.61,NZ,1730857795
36,shache,38.4167,77.2406,10.22,35,5,2.13,CN,1730857867
37,bodo,67.28,14.405,7.65,83,100,8.23,NO,1730857868
38,lata,40.1629,-8.3327,15.88,93,100,1.03,PT,1730857869
39,whitehorse,60.7161,-135.0538,-0.57,86,100,12.86,CA,1730857870
40,carnarvon,-24.8667,113.6333,22.43,54,3,9.9,AU,1730857871
41,margate,51.3813,1.3862,9.93,85,56,2.88,GB,1730857873
42,pyt-yakh,60.7499,72.8582,-5.85,94,14,2.4,RU,1730857874
43,humaita,-7.5061,-63.0208,24.56,84,59,0.97,BR,1730857875
44,sisimiut,66.9395,-53.6735,-9.13,90,62,3.27,GL,1730857876
45,antofagasta,-23.65,-70.4,16.6,86,44,1.4,CL,1730857877
46,thompson,55.7435,-97.8558,-0.91,80,75,3.09,CA,1730857878
47,bethel,41.3712,-73.414,17.25,86,5,1.34,US,1730857757
48,mount darwin,-16.7725,31.5838,23.84,51,3,2.73,ZW,1730857881
49,adamstown,-25.066,-130.1015,22.1,84,100,6.07,PN,1730857741
50,ribeira grande,38.5167,-28.7,17.1,73,56,5.36,PT,1730857883
51,koton-karfe,8.1,6.8,23.97,58,0,0.51,NG,1730857884
52,yeniseysk,58.4497,92.1703,-2.47,93,97,2.15,RU,1730857885
53,bichura,50.5881,107.6022,-1.7,62,95,0.59,RU,1730857886
54,panacan,9.2463,118.4082,29.13,72,38,2.21,PH,1730857887
55,williams lake,52.1415,-122.1445,0.76,78,20,2.57,CA,1730857889
56,dongola,19.1667,30.4833,18.99,40,0,4.95,SD,1730857890
57,saint-denis,48.9167,2.3333,11.71,96,100,3.09,FR,1730857891
58,puerto natales,-51.7236,-72.4875,2.13,97,47,2.66,CL,1730857500
59,jamestown,42.097,-79.2353,20.8,60,0,5.14,US,1730857673
60,vennesla,58.2694,7.9741,4.68,100,100,2.06,NO,1730857894
61,egilsstadir,65.2653,-14.3948,10.95,76,40,10.8,IS,1730857895
62,norwich,52.6278,1.2983,10.1,92,100,2.06,GB,1730857896
63,san luis de la loma,17.2706,-100.8939,26.22,85,6,1.46,MX,1730857898
64,altay,47.8667,88.1167,7.02,77,100,1.79,CN,1730857746
65,ataq,14.5377,46.8319,19.99,80,0,2.9,YE,1730857900
66,papao,-17.75,-149.55,28.82,77,100,0.94,PF,1730857901
67,talnakh,69.4865,88.3972,-4.84,91,100,7.41,RU,1730857761
68,nova sintra,14.8667,-24.7167,26.24,79,3,9.95,CV,1730857903
69,la asuncion,11.0333,-63.8628,26.9,86,95,3.96,VE,1730857904
70,malango,-2.9627,119.9001,27.56,57,74,1.68,ID,1730857905
71,iwanai,42.9744,140.5089,6.42,62,98,1.73,JP,1730857907
72,marat,25.0701,45.4615,19.64,52,2,2.54,SA,1730857908
73,tsiombe,-25.3,45.4833,21.57,89,80,3.46,MG,1730857909
